USR_NUM_ID,shop_duration,recent,monetary,max_amount,items_count,valid_points_sum,CHANNEL_NUM_ID,member_day,VIP_TYPE_NUM_ID,frequence,avg_amount,item_count_turn,avg_piece_amount,monetary3,max_amount3,items_count3,frequence3,shops_count,promote_percent,wxapp_diff,store_diff,shop_channel,week_percent,infant_group,water_product_group,meat_group,beauty_group,health_group,fruits_group,vegetables_group,pets_group,snacks_group,smoke_group,milk_group,instant_group,grain_group,label
464087,30以下,30以下,100以下,20-50,1-5,50-100,7,30以下,0,1以下,50-100,2-5,10-20,50-100,20-50,1-5,1以下,1以下,0.2-0.4,30以下,30以下,unknow,0.8以上,unknow,unknow,unknow,美妆客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1806040903729006,120以上,30以下,200-500,50-100,20以上,200-500,0,360以上,1,5-10,50-100,2-5,10-20,100-500,50-100,10-20,1-5,1以下,0.4-0.6,30以下,30以下,unknow,0.2-0.4,unknow,unknow,unknow,unknow,unknow,水果客群,unknow,unknow,零食客群,unknow,奶饮品客群,方便速食客群,粮油客群,0
199074,30以下,60-90,100以下,20以下,1-5,50以下,7,30-90,0,1以下,20-50,1-2,10-20,20-50,20以下,1-5,1以下,1以下,0.2以下,30以下,60-90,unknow,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1901120060114006,30以下,90-120,100以下,20以下,5-10,100-200,7,90-180,0,1-5,10-20,1-2,10以下,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,90-120,unknow,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,方便速食客群,unknow,1
399843,30以下,30以下,100以下,20以下,1以下,50以下,7,30以下,0,1以下,10-20,1以下,10-20,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,30以下,unknow,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,0
1806041381461006,30以下,120以上,200-500,200-1000,5-10,500以上,0,360以上,1,1-5,50-100,2-5,20-50,20以下,20以下,1以下,1以下,1以下,0.6-0.8,30以下,120以上,unknow,0.8以上,unknow,水产客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1806040223491006,120以上,30-60,500-1000,100-200,20以上,500以上,0,360以上,1,10-20,50-100,2-5,10-20,100-500,20-50,20以上,5-10,1以下,0.2-0.4,30以下,30-60,unknow,0.4-0.6,母婴客群,unknow,unknow,unknow,unknow,水果客群,unknow,unknow,零食客群,unknow,奶饮品客群,unknow,unknow,1
1807310253090006,30以下,120以上,100以下,20以下,1以下,50以下,0,360以上,1,1以下,10-20,1以下,10-20,20以下,20以下,1以下,1以下,1以下,0.8以上,30以下,120以上,unknow,0.8以上,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,0
1901130070261006,30以下,120以上,100-200,20-50,5-10,200-500,0,90-180,0,1以下,100以上,5-10,10-20,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,120以上,unknow,0.8以上,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,零食客群,unknow,unknow,unknow,unknow,1
1806041486363006,30以下,90-120,500-1000,200-1000,1-5,500以上,0,360以上,1,1以下,100以上,2-5,100以上,20以下,20以下,1以下,1以下,1以下,0.2-0.4,30以下,90-120,unknow,0.8以上,母婴客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1807290110626006,30以下,120以上,200-500,50-100,10-20,200-500,0,180-360,1,1以下,100以上,10以上,20-50,20以下,20以下,1以下,1以下,1以下,0.2-0.4,30以下,120以上,unknow,0.2以下,unknow,unknow,肉禽客群,unknow,unknow,水果客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1807310305974006,30以下,120以上,500-1000,200-1000,5-10,500以上,0,360以上,1,1以下,100以上,5-10,50-100,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,120以上,unknow,0.2以下,unknow,unknow,肉禽客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1902040040648006,60-90,60-90,100-200,20-50,5-10,200-500,0,90-180,0,1-5,20-50,1-2,10-20,100-500,20-50,10-20,1-5,1以下,0.2以下,30以下,60-90,unknow,0.4-0.6,unknow,unknow,unknow,unknow,unknow,水果客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,0
22818,30以下,120以上,100以下,20以下,1-5,100-200,7,90-180,0,1以下,10-20,1-2,10以下,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,120以上,unknow,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,零食客群,unknow,unknow,unknow,unknow,1
29237,30以下,120以上,100-200,50-100,1-5,50以下,96,90-180,0,1以下,100以上,2-5,20-50,20以下,20以下,1以下,1以下,1以下,0.2以下,120以上,30以下,仅小程序,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,零食客群,unknow,unknow,unknow,unknow,1
1806040877135006,30以下,30以下,100以下,20以下,1-5,50以下,0,360以上,0,1以下,10以下,1-2,10以下,20-50,20-50,1-5,1以下,1以下,0.8以上,30以下,30以下,unknow,0.2以下,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1811110060470006,30以下,120以上,100以下,20以下,1-5,50-100,0,180-360,0,1-5,10以下,1以下,10以下,20以下,20以下,1以下,1以下,1以下,0.2以下,30以下,120以上,unknow,0.8以上,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
1806280130508006,60-90,30以下,100-200,50-100,5-10,200-500,0,360以上,0,1-5,50-100,2-5,20-50,100-500,20-50,5-10,1以下,1以下,0.2-0.4,30以下,30以下,unknow,0.8以上,unknow,水产客群,unknow,unknow,unknow,水果客群,unknow,unknow,unknow,unknow,unknow,unknow,unknow,1
379592,30以下,30以下,100以下,20以下,5-10,100-200,7,30以下,0,1以下,50-100,5-10,10以下,100-500,20以下,10-20,1以下,1以下,0.4-0.6,30以下,30以下,unknow,0.8以上,unknow,unknow,unknow,unknow,unknow,unknow,蔬菜客群,unknow,unknow,unknow,unknow,unknow,unknow,1
